var_shortn,var_longn_eng,SHIP-START-4 Code Parts ,LOINC,LOINC code parts,Relation,Cardinality,,,,,,,,,,,,,,,,,,,
wbc,LAB: WBC/leukocytes (Gpt/l),"C: Leucocytes
P: Gpt/l
T: Pt
S: Blood
Sc: Qn
M: ",6690-2,"C: Leucocytes
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,, ,,,,,,,,,,,,,,,,
rbc,LAB: RBC/erythrocytes (Tpt/l),"C: Erythrocytes 
P: Tpt/l
T: Pt
S: Blood
Sc: Qn
M: ",789-8,"C:  Erythrocytes 
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
mcv,LAB: mcv/mean corpuscular volume (fl),"C: Erythrocyte mean corpuscular volume 
P: volume (fl)
T: Pt
S: Erythrocytes
Sc: Qn
M: ",787-2 ,"C: Erythrocyte mean corpuscular volume
P: EntVol
T: Pt
S: RBC
Sc: Qn
M: Automated count ",=,2,,,,,,,,,,,,,,,,,,,
rdw,LAB: RDW/red cell distribution width (%),"C: Red blood cell distribution width 
P: (%)
T: Pt
S: Erythrocytes
Sc: Qn
M: ",788-0 ,"C: Erythrocyte distribution width
P: Ratio
T: Pt
S: RBC
Sc: Qn
M: Automated count ",=,2,,,,,,,,,,,,,,,,,,,
plt,LAB: PLT/thrombocytes (Gpt/l),"C: Platelets
P: Gpt/l
T: Pt
S: Blood
Sc: Qn
M: ",777-3,"C: Platelets
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
mpv,LAB: MPV/mean platelet volume (fl),"C: Mean platelet volume
P: fl
T: Pt
S: Blood
Sc: Qn
M: ", 32623-1,"C: Platelet mean volume
P: EntVol
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
ne_pct_e,LAB: neutrophils (%),"C: Neutrophils
P: %
T: Pt
S: Blood
Sc: Qn
M: ",770-8,"C: Neutrophils/100 leukocytes
P: NFr
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
ly_pct_e,LAB: lymphocytes (%),"C: Lymphocytes
P: %
T: Pt
S: Blood
Sc: Qn
M: ",736-9,"C: Lymphocytes/100 leukocytes
P: NFr
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
mo_pct_e,LAB: monocytes (%),"C: Monocytes
P: %
T: Pt
S: Blood
Sc: Qn
M: ",5905-5,"C: Monocytes/100 leukocytes
P: NFr
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
eo_pct_e,LAB: eosinophils (%),"C: Eosinophils
P: %
T: Pt
S: Blood
Sc: Qn
M: ",713-8,"C: Eosinophils/100 leukocytes
P: NFr
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
ba_pct_e,LAB: basophils (%),"C: Basophils
P: %
T: Pt
S: Blood
Sc: Blood
M: ",706-2,"C: Basophils/100 leukocytes
P: NFr
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,,,,,,,,,,,,,,,
ne_e,LAB: neutrophils (absolute) (Gpt/l),"C: Neutrophils (absolute)
P: Gpt/l
T: Pt
S: Blood
Sc: Qn
M: ",751-8,"C: Neutrophils
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count ",=,2,,,,,,,,,,,,,,,,,,,
ly_e,LAB: lymphocytes (absolute) (Gpt/l),"C: Lymphocytes (absolute) 
P: Gpt/l
T: Pt
S: Blood
Sc: Qn
M: ",731-0,"C: Lymphocytes
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count ",=,2,,,,,,,,,,,,,,,,,,,
gfr_larsson_t,LAB: GFR estimated (Larsson) (77.24*(cystatin**-1.2623)) (ml/min),"C: GFR estimated (Larsson)
P: ml/min
T: Pt
S: Serum/Plasma
Sc: Qn
M: (77.24*(cystatin**-1.2623)",50210-4,"C: Glomerular filtration rate/1.73 sq M.predicted
P: ArVRat
T: Pt
S: Ser/Plas/Bld
S: Qn
M: Cystatin C-based formula ",=,2,,,,,,,,,,,,,,,,,,,
ust_farb,LAB: (urine) urine color,"C: Color
P: 
T: Pt
S: Urine
Sc: Nom
M: ",50553-7,"C: Color
P: Type
T: Pt
S: Urine
Sc: Nom
M: Auto ",=,2,,,,,,,,,,,,,,,,,,,
hct,LAB: haematocrit,"C: Haematocrit
P: 
T: Pt
S: Blood
Sc: Qn
M: ",4544-3,"C: Hematocrit
P: VFr
T: Pt
S: Blood
Sc: Qn
M: Automated count ",=,3,,,,,,,,,,,,,,,,,,,
