var_shortn,var_longn_eng,var_method_info,SHIP-START-4 Code Parts ,LOINC,LOINC code parts,Relation,Cardinality,,,,,
wbc,LAB: WBC/leukocytes (Gpt/l),,"C: Leucocytes
P: Gpt/l
T: Pt
S: Blood
Sc: Qn
M: ",6690-2,"C: Leucocytes
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,
,,,,26464-8,"C: Leucocytes
P: NCnc
T: Pt
S: Blood
Sc: Qn
M:",=,,,,,,
rbc,LAB: RBC/erythrocytes (Tpt/l),,"C: Erythrocytes 
P: Tpt/l
T: Pt
S: Blood
Sc: Qn
M: ",789-8,"C:  Erythrocytes 
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,2,,,,,
,,,,26453-1,"C:  Erythrocytes 
P: NCnc
T: Pt
S: Blood
Sc: Qn
M: Automated count",=,,,,,,
hgb,LAB: haemoglobin (mmol/l),,"C: Haemoglobin
P: mmol/l
T: Pt
S: Blood
Sc: Qn
M: ",59260-0,"C: Hemoglobin 
P: SCnc
T: Pt
S: Blood
Sc: Qn
M: ",=,1,,,,,
mcv,LAB: mcv/mean corpuscular volume (fl),,"C: Erythrocyte mean corpuscular volume 
P: volume (fl)
T: Pt
S: Erythrocytes
Sc: Qn
M: ",787-2 ,"C: Erythrocyte mean corpuscular volume
P: EntVol
T: Pt
S: RBC
Sc: Qn
M: Automated count ",=,2,,,,,
,,,,30428-7,"C: Erythrocyte mean corpuscular volume
P: EntVol
T: Pt
S: RBC
Sc: Qn
M:",=,,,,,,
mch,LAB: MCH/mean corpuscular haemoglobin (fmol),,"C: Erythrocyte mean corpuscular haemoglobin (fmol)
P: fmol
T: Pt
S: Erythrocytes
Sc: Qn
M: ",59468-9,"C: Erythrocyte mean corpuscular hemoglobin
P: EntSub
T: Pt
S: Erythrocytes
Sc: Qn
M: ",=,1,,,,,
mchc,LAB: MCHC/mean corpuscular haemoglobin concentration (mmol/l),,"C: Erythrocyte mean corpuscular haemoglobin concentration
P: mmol/l
T: Pt
S: Erythrocytes
Sc: Qn
M: ",59467-1,"C: Erythrocyte mean corpuscular hemoglobin concentration
P: SCnc
T: Pt
S: Erythrocytes
Sc: Qn
M: ",=,1,,,,,
rdw,LAB: RDW/red cell distribution width (%),,"C: Red blood cell distribution width 
P: (%)
T: Pt
S: Erythrocytes
Sc: Qn
M: ",788-0 ,"C: Erythrocyte distribution width
P: Ratio
T: Pt
S: RBC
Sc: Qn
M: Automated count ",=,2,,,,,
