var_shortn,var_longn_eng,loinc,relation,cardinality,mapping_type
hgb,LAB: haemoglobin (mmol/l),59260-0,=,1,simple
mch,LAB: MCH/mean corpuscular haemoglobin (fmol),59468-9,=,1,simple
mchc,LAB: MCHC/mean corpuscular haemoglobin concentration (mmol/l),59467-1,=,1,simple
normo_pct,LAB: normoblasts (%),33990-3,=,1,simple
normo,LAB: normoblasts (absolute) (Gpt/l),715-3,=,1,simple
quick,LAB: QUICK/thromboplastin time (%),5894-1,=,1,simple
inr,LAB: thromboplastin time international normalized ratio,6301-6,=,1,simple
ptt,LAB: PTT/partial thromboplastin time (s),14979-9,=,1,simple
fib_cl,LAB: fibrinogen (Clauss) (g/l),3255-7,=,1,simple
fib_p,LAB: fibrinogen (g/l),48664-7,=,1,simple
cl_s,LAB: serum chloride (mmol/l),2075-0,=,1,simple
ca_s,"LAB: serum calcium, total (mmol/l)",2000-8,=,1,simple
na_s,LAB: Na/sodium (mmol/l),2951-2,=,1,simple
k_s,LAB: K/potassium (mmol/l),2823-3,=,1,simple
mg_s,LAB: magnesium (mmol/l),2601-3,=,1,simple
hba1c_ifcc,HbA1c (IFCC) (mmol/mol),59261-8,=,1,simple
gluc_s,LAB: serum glucose (mmol/l),14749-6,=,1,simple
crea_s,LAB: serum creatinine (µmol/l),14682-9,=,1,simple
hrs_s,LAB: serum uric acid (µmol/l),14933-6,=,1,simple
cystatin,LAB: cystatin C (mg/l),33863-2,=,1,simple
ck_s,LAB: creatine kinase (total) (µkatal/l),2157-6,=,1,simple
ldh_s,LAB: lactate dehydrogenase (µkatal/l),14804-9,=,1,simple
amyl_s,LAB: serum amylase (alpha-amylase) (µkatal/l),1798-8,=,1,simple
ggt_s,LAB: gamma-glutamyl transferase (µkatal/l),2324-2,=,1,simple
lip_s,LAB: lipase (µkatal/l),3040-3,=,1,simple
tg_s,LAB: triglycerides (total) (mmol/l),14927-8,=,1,simple
chol_s,LAB: cholesterol (total) (mmol/l),14647-2,=,1,simple
hdlch,LAB: HDL-cholesterol (mmol/l),14646-4,=,1,simple
crp_hs,LAB: CRP (high-sensitive) (mg/l),30522-7,=,1,simple
ust_trueb,"LAB: (urine) urine turbidity, clouding",20627-6,=,1,simple
crea_u,LAB: (urine) creatinine (mmol/l),14683-7,=,1,simple
alb_u,LAB: (urine) albumin (mg/l),1754-1,=,1,simple
wbc,LAB: WBC/leukocytes (Gpt/l),6690-2,=,2,complex
wbc,LAB: WBC/leukocytes (Gpt/l),26464-8,=,2,complex
rbc,LAB: RBC/erythrocytes (Tpt/l),789-8,=,2,complex
rbc,LAB: RBC/erythrocytes (Tpt/l),26453-1,=,2,complex
mcv,LAB: mcv/mean corpuscular volume (fl),787-2,=,2,complex
mcv,LAB: mcv/mean corpuscular volume (fl),30428-7,=,2,complex
rdw,LAB: RDW/red cell distribution width (%),788-0,=,2,complex
rdw,LAB: RDW/red cell distribution width (%),30385-9,=,2,complex
plt,LAB: PLT/thrombocytes (Gpt/l),777-3,=,2,complex
plt,LAB: PLT/thrombocytes (Gpt/l),26515-7,=,2,complex
mpv,LAB: MPV/mean platelet volume (fl),32623-1,=,2,complex
mpv,LAB: MPV/mean platelet volume (fl),28542-9,=,2,complex
ne_pct_e,LAB: neutrophils (%),770-8,=,2,complex
ne_pct_e,LAB: neutrophils (%),26511-6,=,2,complex
ly_pct_e,LAB: lymphocytes (%),736-9,=,2,complex
ly_pct_e,LAB: lymphocytes (%),26478-8,=,2,complex
mo_pct_e,LAB: monocytes (%),5905-5,=,2,complex
mo_pct_e,LAB: monocytes (%),26485-3,=,2,complex
eo_pct_e,LAB: eosinophils (%),713-8,=,2,complex
eo_pct_e,LAB: eosinophils (%),26450-7,=,2,complex
ba_pct_e,LAB: basophils (%),706-2,=,2,complex
ba_pct_e,LAB: basophils (%),30180-4,=,2,complex
ne_e,LAB: neutrophils (absolute) (Gpt/l),751-8,=,2,complex
ne_e,LAB: neutrophils (absolute) (Gpt/l),26499-4,=,2,complex
ly_e,LAB: lymphocytes (absolute) (Gpt/l),731-0,=,2,complex
ly_e,LAB: lymphocytes (absolute) (Gpt/l),26474-7,=,2,complex
gfr_larsson_t,LAB: GFR estimated (Larsson) (77.24*(cystatin**-1.2623)) (ml/min),50210-4,=,2,complex
gfr_larsson_t,LAB: GFR estimated (Larsson) (77.24*(cystatin**-1.2623)) (ml/min),69405-9,=,2,complex
ust_farb,LAB: (urine) urine color,50553-7,=,2,complex
ust_farb,LAB: (urine) urine color,5778-6,=,2,complex
hct,LAB: haematocrit,4544-3,=,3,complex
hct,LAB: haematocrit,20570-8,=,3,complex
hct,LAB: haematocrit,31100-1,=,3,complex
hba1c,LAB: Hb A1c (%),4548-4,=,2,complex
hba1c,LAB: Hb A1c (%),17856-6,=,2,complex
gfrmdrd,"LAB: GFR estimated (MDRD) (ml/min/1,73qm)",69405-9,=,3,complex
gfrmdrd,"LAB: GFR estimated (MDRD) (ml/min/1,73qm)",77147-7,=,3,complex
gfrmdrd,"LAB: GFR estimated (MDRD) (ml/min/1,73qm)",48642-3,=,3,complex
gfrcapa,"GFR (CAPA) (ml/min/1,73qm) calculated from cystatin",69405-9,=,2,complex
gfrcapa,"GFR (CAPA) (ml/min/1,73qm) calculated from cystatin",50210-4,=,2,complex
gfr_ckdepi,Glomerular filtration rate (CKD-EPI formula) (ml/min) calculated from creatinine,69405-9,=,3,complex
gfr_ckdepi,Glomerular filtration rate (CKD-EPI formula) (ml/min) calculated from creatinine,88294-4,=,3,complex
gfr_ckdepi,Glomerular filtration rate (CKD-EPI formula) (ml/min) calculated from creatinine,62238-1,=,3,complex
alat_s,LAB: alanine aminotransferase (ALAT/GPT) (µkatal/l),1742-6,=,2,complex
alat_s,LAB: alanine aminotransferase (ALAT/GPT) (µkatal/l),1743-4,=,2,complex
asat_s,LAB: aspartate aminotransferase (ASAT/GOT) (µkatal/l),1920-8,=,2,complex
asat_s,LAB: aspartate aminotransferase (ASAT/GOT) (µkatal/l),30239-8,=,2,complex
alb_s,LAB: serum albumin (g/l),1751-7,=,2,complex
alb_s,LAB: serum albumin (g/l),61152-5,=,2,complex
ferri,Ferritin (µg/l),2276-4,=,2,complex
ferri,Ferritin (µg/l),20567-4,=,2,complex
ldlch,LAB: LDL-cholesterol (mmol/l),22748-8,=,2,complex
ldlch,LAB: LDL-cholesterol (mmol/l),69419-0,=,2,complex
tsh,LAB: TSH/thyroid-stimulating hormone (mU/l),3016-3,=,2,complex
tsh,LAB: TSH/thyroid-stimulating hormone (mU/l),11580-8,=,2,complex
ft3,"LAB: fT3/triiodothyronine, free (pmol/l)",14928-6,=,2,complex
ft3,"LAB: fT3/triiodothyronine, free (pmol/l)",83126-3,=,2,complex
ft4,"LAB: fT4/thyroxine, free (pmol/l)",14920-3,=,2,complex
ft4,"LAB: fT4/thyroxine, free (pmol/l)",83121-4,=,2,complex
tpo_ak,LAB: TPO-AK/anti-thyroid peroxidase antibody (U/ml),8099-4,=,2,complex
tpo_ak,LAB: TPO-AK/anti-thyroid peroxidase antibody (U/ml),56477-3,=,2,complex
ph_u,LAB: (urine) pH,2756-5,=,3,complex
ph_u,LAB: (urine) pH,5803-2,=,3,complex
ph_u,LAB: (urine) pH,50560-2,=,3,complex
leuco_u,LAB: (urine) leukocytes (Zellen/µl),30405-5,=,3,complex
leuco_u,LAB: (urine) leukocytes (Zellen/µl),20408-1,=,3,complex
leuco_u,LAB: (urine) leukocytes (Zellen/µl),58805-3,=,3,complex
nitri_u,LAB: (urine) nitrite (pos/neg),32710-6,=,3,complex
nitri_u,LAB: (urine) nitrite (pos/neg),5802-4,=,3,complex
nitri_u,LAB: (urine) nitrite (pos/neg),50558-6,=,3,complex
prot_u,LAB: (urine) protein (g/l),2888-6,=,3,complex
prot_u,LAB: (urine) protein (g/l),5804-0,=,3,complex
prot_u,LAB: (urine) protein (g/l),50561-0,=,3,complex
gluc_u,LAB: (urine) glucose (mmol/l),15076-3,=,3,complex
gluc_u,LAB: (urine) glucose (mmol/l),22705-8,=,3,complex
gluc_u,LAB: (urine) glucose (mmol/l),59156-0,=,3,complex
ket_u,LAB: (urine) ketone (mmol/l),22702-5,=,2,complex
ket_u,LAB: (urine) ketone (mmol/l),59158-6,=,2,complex
ubg_u,LAB: (urine) urobilinogen (µmol/l),34927-4,=,3,complex
ubg_u,LAB: (urine) urobilinogen (µmol/l),34928-2,=,3,complex
ubg_u,LAB: (urine) urobilinogen (µmol/l),60025-4,=,3,complex
bili_u,LAB: (urine) bilirubin (µmol/l),70199-5,=,3,complex
bili_u,LAB: (urine) bilirubin (µmol/l),41016-7,=,3,complex
bili_u,LAB: (urine) bilirubin (µmol/l),68367-2,=,3,complex
ery_u,LAB: (urine) erythrocytes (/µl),30391-7,=,3,complex
