var_shortn,time,scale,unit
sg_u,Pt,Qn,kg/l
hgb,Pt,Qn,mmol/l
mch,Pt,Qn,fmol
mchc,Pt,Qn,mmol/l
normo_pct,Pt,Qn,%
normo,Pt,Qn,Gpt/l
quick,Pt,Qn,%
inr,Pt,Qn,
ptt,Pt,Qn,s
fib_cl,Pt,Qn,g/l
fib_p,Pt,Qn,g/l
cl_s,Pt,Qn,mmol/l
ca_s,Pt,Qn,mmol/l
na_s,Pt,Qn,mmol/l
k_s,Pt,Qn,mmol/l
mg_s,Pt,Qn,mmol/l
hba1c_ifcc,Pt,Qn,mmol/mol
gluc_s,Pt,Qn,mmol/l
crea_s,Pt,Qn,µmol/l
hrs_s,Pt,Qn,µmol/l
cystatin,Pt,Qn,mg/l
ck_s,Pt,Qn,µkatal/l
ldh_s,Pt,Qn,µkatal/l
amyl_s,Pt,Qn,µkatal/l
ggt_s,Pt,Qn,µkatal/l
lip_s,Pt,Qn,µkatal/l
tg_s,Pt,Qn,mmol/l
chol_s,Pt,Qn,mmol/l
hdlch,Pt,Qn,mmol/l
crp_hs,Pt,Qn,mg/l
ust_trueb,Pt,Ord,
crea_u,Pt,Qn,mmol/l
alb_u,Pt,Qn,mg/l
wbc,Pt,Qn,Gpt/l
rbc,Pt,Qn,Tpt/l
mcv,Pt,Qn,fl
rdw,Pt,Qn,%
plt,Pt,Qn,Gpt/l
mpv,Pt,Qn,fl
ne_pct_e,Pt,Qn,%
ly_pct_e,Pt,Qn,%
mo_pct_e,Pt,Qn,%
eo_pct_e,Pt,Qn,%
ba_pct_e,Pt,Qn,%
ne_e,Pt,Qn,Gpt/l
ly_e,Pt,Qn,Gpt/l
gfr_larsson_t,Pt,Qn,ml/min
ust_farb,Pt,Nom,
hct,Pt,Qn,
hba1c,Pt,Qn,%
gfrmdrd,Pt,Qn,"ml/min/1,73qm"
gfrcapa,Pt,Qn,"ml/min/1,73qm"
gfr_ckdepi,Pt,Qn,ml/min
alat_s,Pt,Qn,µkatal/l
asat_s,Pt,Qn,µkatal/l
alb_s,Pt,Qn,g/l
ferri,Pt,Qn,µg/l
ldlch,Pt,Qn,mmol/l
tsh,Pt,Qn,mU/l
ft3,Pt,Qn,pmol/l
ft4,Pt,Qn,pmol/l
tpo_ak,Pt,Qn,U/ml
ph_u,Pt,Qn,
leuco_u,Pt,Qn,Zellen/µl
nitri_u,Pt,Ord,pos/neg
prot_u,Pt,Qn,g/l
gluc_u,Pt,Qn,mmol/l
ket_u,Pt,Qn,mmol/l
ubg_u,Pt,Qn,µmol/l
bili_u,Pt,Qn,µmol/l
ery_u,Pt,Qn,/µl
hb_u,Pt,Qn,mg/dl
