var_shortn,ship_specimen,specimen_group
sg_u,Urine,urine
hgb,Blood,blood
mch,Erythrocytes,erythrocytes
mchc,Erythrocytes,erythrocytes
normo_pct,Blood,blood
normo,Blood,blood
quick,PPP,ppp
inr,PPP,ppp
ptt,PPP,ppp
fib_cl,PPP,ppp
fib_p,PPP,ppp
cl_s,Ser/Plas,serum_plasma
ca_s,Serum/Plasma,serum_plasma
na_s,Serum/Plasma,serum_plasma
k_s,Serum/Plasma,serum_plasma
mg_s,Serum/Plasma,serum_plasma
hba1c_ifcc,Blood,blood
gluc_s,Serum/Plasma,serum_plasma
crea_s,Serum/Plasma,serum_plasma
hrs_s,Serum/Plasma,serum_plasma
cystatin,Serum/Plasma,serum_plasma
ck_s,Serum/Plasma,serum_plasma
ldh_s,Serum/Plasma,serum_plasma
amyl_s,Serum/Plasma,serum_plasma
ggt_s,Serum/Plasma,serum_plasma
lip_s,Serum/Plasma,serum_plasma
tg_s,Serum/Plasma,serum_plasma
chol_s,Serum/Plasma,serum_plasma
hdlch,Serum/Plasma,serum_plasma
crp_hs,Serum/Plasma,serum_plasma
ust_trueb,Urine,urine
crea_u,Urine,urine
alb_u,Urine,urine
wbc,Blood,blood
rbc,Blood,blood
mcv,Erythrocytes,erythrocytes
rdw,Erythrocytes,erythrocytes
plt,Blood,blood
mpv,Blood,blood
ne_pct_e,Blood,blood
ly_pct_e,Blood,blood
mo_pct_e,Blood,blood
eo_pct_e,Blood,blood
ba_pct_e,Blood,blood
ne_e,Blood,blood
ly_e,Blood,blood
gfr_larsson_t,Serum/Plasma,serum_plasma
ust_farb,Urine,urine
hct,Blood,blood
hba1c,Blood,blood
gfrmdrd,Serum/Plasma/Blood,serum_plasma_blood
gfrcapa,Serum/Plasma/Blood,serum_plasma_blood
gfr_ckdepi,Serum/Plasma/Blood,serum_plasma_blood
alat_s,Serum/Plasma,serum_plasma
asat_s,Serum/Plasma,serum_plasma
alb_s,Serum/Plasma,serum_plasma
ferri,Ser/Plas,serum_plasma
ldlch,Serum/Plasma,serum_plasma
tsh,Serum/Plasma,serum_plasma
ft3,Serum/Plasma,serum_plasma
ft4,Serum/Plasma,serum_plasma
tpo_ak,Serum/Plasma,serum_plasma
ph_u,Urine,urine
leuco_u,Urine,urine
nitri_u,Urine,urine
prot_u,Urine,urine
gluc_u,Urine,urine
ket_u,Urine,urine
ubg_u,Urine,urine
bili_u,Urine,urine
ery_u,Urine,urine
hb_u,Urine,urine
