var_shortn,n_candidates,baseline_code,llm_answer,llm_code,candidates,ceiling,baseline,llm
hgb,1,59260-0,NONE,NA,59260-0,TRUE,TRUE,FALSE
mch,1,59468-9,NONE,NA,59468-9,TRUE,TRUE,FALSE
mchc,1,59467-1,NONE,NA,59467-1,TRUE,TRUE,FALSE
normo_pct,2,33957-2,33957-2,33957-2,33957-2;33990-3,TRUE,FALSE,FALSE
normo,5,715-3,715-3,715-3,715-3;35029-8;11129-4;33839-2;68124-7,TRUE,TRUE,TRUE
quick,1,3289-6,NONE,NA,3289-6,FALSE,FALSE,FALSE
inr,4,43237-7,52129-4,52129-4,43237-7;52129-4;97911-2;6014-5,FALSE,FALSE,FALSE
ptt,0,NA,18712-5,NA,NA,FALSE,FALSE,FALSE
fib_cl,6,3256-5,42772-4,42772-4,3256-5;42772-4;30902-1;3255-7;48664-7;27990-1,TRUE,FALSE,FALSE
fib_p,6,3256-5,3256-5,3256-5,3256-5;42772-4;30902-1;3255-7;48664-7;27990-1,TRUE,FALSE,FALSE
cl_s,2,2075-0,NONE,NA,2075-0;77138-6,TRUE,TRUE,FALSE
ca_s,7,2000-8,2000-8,2000-8,2000-8;59148-7;1995-0;13959-2;14566-4;12180-6;14635-7,TRUE,TRUE,TRUE
na_s,5,52893-5,2951-2,2951-2,52893-5;2601-3;25359-1;2951-2;77139-4,TRUE,FALSE,TRUE
k_s,6,2823-3,NONE,NA,2823-3;77142-8;12812-4;12813-2;51618-7;29349-8,TRUE,TRUE,FALSE
mg_s,3,2601-3,2601-3,2601-3,2601-3;2600-5;55937-7,TRUE,TRUE,TRUE
hba1c_ifcc,1,59261-8,59261-8,59261-8,59261-8,TRUE,TRUE,TRUE
gluc_s,5,14749-6,14749-6,14749-6,14749-6;80093-8;77135-2;14768-6;25426-8,TRUE,TRUE,TRUE
crea_s,6,14682-9,14682-9,14682-9,14682-9;77140-2;40264-4;15045-8;14288-5;59891-2,TRUE,TRUE,TRUE
hrs_s,1,38172-3,NONE,NA,38172-3,FALSE,FALSE,FALSE
cystatin,4,33863-2,33863-2,33863-2,33863-2;2177-4;25390-6;5748-9,TRUE,TRUE,TRUE
ck_s,5,2157-6,2157-6,2157-6,2157-6;32673-6;2152-7;2154-3;2155-0,TRUE,TRUE,TRUE
ldh_s,11,2537-9,2537-9,2537-9,2537-9;2540-3;2543-7;2546-0;19248-4;2535-3;2538-7;2541-1;2544-5;14804-9;14805-6,TRUE,FALSE,FALSE
amyl_s,6,1798-8,1798-8,1798-8,1798-8;1802-8;1803-6;1804-4;1806-9;77146-9,TRUE,TRUE,TRUE
ggt_s,5,2324-2,2324-2,2324-2,2324-2;77144-4;1743-4;1744-2;1742-6,TRUE,TRUE,TRUE
lip_s,0,NA,1234-5,NA,NA,FALSE,FALSE,FALSE
tg_s,3,14927-8,14927-8,14927-8,14927-8;53526-0;47210-0,TRUE,TRUE,TRUE
chol_s,8,14647-2,14647-2,14647-2,14647-2;14646-4;22748-8;55840-3;39469-2;69419-0;96258-9;74432-6,TRUE,TRUE,TRUE
