var_shortn,var_longn_eng,llm_answer,model,date
hgb,LAB: haemoglobin (mmol/l),Haemoglobin (mM/L),qwen2.5:7b,2026-09-22
mch,LAB: MCH/mean corpuscular haemoglobin (fmol),Mean Corpuscular Hemoglobin,qwen2.5:7b,2026-09-22
mchc,LAB: MCHC/mean corpuscular haemoglobin concentration (mmol/l),Mean Corpuscular Haemoglobin Concentration,qwen2.5:7b,2026-09-22
normo_pct,LAB: normoblasts (%),Bone Marrow Derived Normoblasts Percentage,qwen2.5:7b,2026-09-22
normo,LAB: normoblasts (absolute) (Gpt/l),Absolute Normoblast Count (Gpt/l),qwen2.5:7b,2026-09-22
quick,LAB: QUICK/thromboplastin time (%),Prothrombin Time (%),qwen2.5:7b,2026-09-22
inr,LAB: thromboplastin time international normalized ratio,Thromboplastin Time International Normalized Ratio (PT INR),qwen2.5:7b,2026-09-22
ptt,LAB: PTT/partial thromboplastin time (s),Partial Thromboplastin Time,qwen2.5:7b,2026-09-22
fib_cl,LAB: fibrinogen (Clauss) (g/l),Fibrinogen (Clauss) Assay,qwen2.5:7b,2026-09-22
fib_p,LAB: fibrinogen (g/l),Fibrinogen (grams per liter),qwen2.5:7b,2026-09-22
cl_s,LAB: serum chloride (mmol/l),Serum Chloride Measurement,qwen2.5:7b,2026-09-22
ca_s,"LAB: serum calcium, total (mmol/l)",Serum Calcium Measurement,qwen2.5:7b,2026-09-22
na_s,LAB: Na/sodium (mmol/l),Sodium (mmol/L),qwen2.5:7b,2026-09-22
k_s,LAB: K/potassium (mmol/l),Potassium Level,qwen2.5:7b,2026-09-22
mg_s,LAB: magnesium (mmol/l),Magnesium (millimoles per liter),qwen2.5:7b,2026-09-22
hba1c_ifcc,HbA1c (IFCC) (mmol/mol),Hemoglobin A1c (International Federation of Clinical Chemistry),qwen2.5:7b,2026-09-22
gluc_s,LAB: serum glucose (mmol/l),Serum Glucose,qwen2.5:7b,2026-09-22
crea_s,LAB: serum creatinine (µmol/l),Serum Creatinine Measurement,qwen2.5:7b,2026-09-22
hrs_s,LAB: serum uric acid (µmol/l),Serum Uric Acid,qwen2.5:7b,2026-09-22
cystatin,LAB: cystatin C (mg/l),Cystatin C Measurement in Serum,qwen2.5:7b,2026-09-22
ck_s,LAB: creatine kinase (total) (µkatal/l),Creatine Kinase (Total) (µkat/L),qwen2.5:7b,2026-09-22
ldh_s,LAB: lactate dehydrogenase (µkatal/l),Lactate Dehydrogenase (micromole per liter),qwen2.5:7b,2026-09-22
amyl_s,LAB: serum amylase (alpha-amylase) (µkatal/l),Serum Amylase,qwen2.5:7b,2026-09-22
ggt_s,LAB: gamma-glutamyl transferase (µkatal/l),Gamma-glutamyl transferase test,qwen2.5:7b,2026-09-22
lip_s,LAB: lipase (µkatal/l),Lipase (microkatal/l),qwen2.5:7b,2026-09-22
tg_s,LAB: triglycerides (total) (mmol/l),Triglycerides,qwen2.5:7b,2026-09-22
chol_s,LAB: cholesterol (total) (mmol/l),Laboratory Test for Total Cholesterol Level,qwen2.5:7b,2026-09-22
hdlch,LAB: HDL-cholesterol (mmol/l),High-Density Lipoprotein Cholesterol,qwen2.5:7b,2026-09-22
crp_hs,LAB: CRP (high-sensitive) (mg/l),C-Reactive Protein (High-Sensitivity),qwen2.5:7b,2026-09-22
ust_trueb,"LAB: (urine) urine turbidity, clouding",Urine Cloudiness Test,qwen2.5:7b,2026-09-22
crea_u,LAB: (urine) creatinine (mmol/l),Urine Creatinine Measurement,qwen2.5:7b,2026-09-22
alb_u,LAB: (urine) albumin (mg/l),Urine Albumin Measurement,qwen2.5:7b,2026-09-22
wbc,LAB: WBC/leukocytes (Gpt/l),White Blood Cell Count,qwen2.5:7b,2026-09-22
rbc,LAB: RBC/erythrocytes (Tpt/l),Red Blood Cells (Turbidity Per Thousand),qwen2.5:7b,2026-09-22
mcv,LAB: mcv/mean corpuscular volume (fl),Mean Corpuscular Volume,qwen2.5:7b,2026-09-22
rdw,LAB: RDW/red cell distribution width (%),Red Cell Distribution Width,qwen2.5:7b,2026-09-22
plt,LAB: PLT/thrombocytes (Gpt/l),Platelets (Gpt/µL),qwen2.5:7b,2026-09-22
mpv,LAB: MPV/mean platelet volume (fl),Mean Platelet Volume (fL),qwen2.5:7b,2026-09-22
ne_pct_e,LAB: neutrophils (%),Neutrophil Percentage,qwen2.5:7b,2026-09-22
ly_pct_e,LAB: lymphocytes (%),Lymphocyte Percentage,qwen2.5:7b,2026-09-22
mo_pct_e,LAB: monocytes (%),Monocytes Percentage,qwen2.5:7b,2026-09-22
eo_pct_e,LAB: eosinophils (%),Eosinophil Percentage,qwen2.5:7b,2026-09-22
