var_shortn,loinc
hgb,59260-0
mch,59468-9
mchc,59467-1
normo_pct,33990-3
normo,715-3
quick,5894-1
inr,6301-6
ptt,14979-9
fib_cl,3255-7
fib_p,48664-7
cl_s,2075-0
ca_s,2000-8
na_s,2951-2
k_s,2823-3
mg_s,2601-3
hba1c_ifcc,59261-8
gluc_s,14749-6
crea_s,14682-9
hrs_s,14933-6
cystatin,33863-2
ck_s,2157-6
ldh_s,14804-9
amyl_s,1798-8
ggt_s,2324-2
lip_s,3040-3
tg_s,14927-8
chol_s,14647-2
hdlch,14646-4
crp_hs,30522-7
ust_trueb,20627-6
crea_u,14683-7
alb_u,1754-1
wbc,6690-2
wbc,26464-8
rbc,789-8
rbc,26453-1
mcv,787-2
mcv,30428-7
rdw,788-0
rdw,30385-9
plt,777-3
plt,26515-7
mpv,32623-1
mpv,28542-9
ne_pct_e,770-8
ne_pct_e,26511-6
ly_pct_e,736-9
ly_pct_e,26478-8
mo_pct_e,5905-5
mo_pct_e,26485-3
eo_pct_e,713-8
eo_pct_e,26450-7
ba_pct_e,706-2
ba_pct_e,30180-4
ne_e,751-8
ne_e,26499-4
ly_e,731-0
ly_e,26474-7
gfr_larsson_t,50210-4
gfr_larsson_t,69405-9
ust_farb,50553-7
ust_farb,5778-6
hct,4544-3
hct,20570-8
hct,31100-1
hba1c,4548-4
hba1c,17856-6
gfrmdrd,69405-9
gfrmdrd,77147-7
gfrmdrd,48642-3
gfrcapa,69405-9
gfrcapa,50210-4
gfr_ckdepi,69405-9
gfr_ckdepi,88294-4
gfr_ckdepi,62238-1
alat_s,1742-6
alat_s,1743-4
asat_s,1920-8
asat_s,30239-8
alb_s,1751-7
alb_s,61152-5
ferri,2276-4
ferri,20567-4
ldlch,22748-8
ldlch,69419-0
tsh,3016-3
tsh,11580-8
ft3,14928-6
ft3,83126-3
ft4,14920-3
ft4,83121-4
tpo_ak,8099-4
tpo_ak,56477-3
ph_u,2756-5
ph_u,5803-2
ph_u,50560-2
leuco_u,30405-5
leuco_u,20408-1
leuco_u,58805-3
nitri_u,32710-6
nitri_u,5802-4
nitri_u,50558-6
prot_u,2888-6
prot_u,5804-0
prot_u,50561-0
gluc_u,15076-3
gluc_u,22705-8
gluc_u,59156-0
ket_u,22702-5
ket_u,59158-6
ubg_u,34927-4
ubg_u,34928-2
ubg_u,60025-4
bili_u,70199-5
bili_u,41016-7
bili_u,68367-2
ery_u,30391-7
ery_u,20409-9
ery_u,57747-8
hb_u,726-0
hb_u,49137-3
hb_u,50559-4
sg_u,NA
