var_shortn,arm,rank,component
hgb,text,1,Hemoglobin
hgb,text,2,Hemoglobin A
hgb,text,3,Hemoglobin H
hgb,text,4,Hemoglobin F
hgb,text,5,Hemoglobin C
hgb,llm,1,Hemoglobin
hgb,llm,2,Hemoglobin A
hgb,llm,3,Hemoglobin H
hgb,llm,4,Hemoglobin F
hgb,llm,5,Hemoglobin C
mch,text,1,Erythrocyte mean corpuscular hemoglobin
mch,text,2,Rumex acetosella basophil bound Ab
mch,text,3,Chrysanthemum cinerariifolium basophil bound Ab
mch,text,4,Origanum vulgare basophil bound Ab
mch,text,5,Hordeum vulgare basophil bound Ab
mch,llm,1,Erythrocyte mean corpuscular hemoglobin
mch,llm,2,Aedes communis basophil bound Ab
mch,llm,3,Apium graveolens basophil bound Ab
mch,llm,4,Origanum vulgare basophil bound Ab
mch,llm,5,Mucor racemosus basophil bound Ab
mchc,text,1,Reticulocyte corpuscular hemoglobin concentration mean
mchc,text,2,Erythrocyte mean corpuscular hemoglobin concentration
mchc,text,3,Hemoglobin M/Hemoglobin.total
mchc,text,4,Erythrocyte mean corpuscular hemoglobin
mchc,text,5,Gamma interferon.negative control spot count
mchc,llm,1,Erythrocyte mean corpuscular hemoglobin concentration
mchc,llm,2,Reticulocyte corpuscular hemoglobin concentration mean
mchc,llm,3,Hemoglobin & Hematocrit panel
mchc,llm,4,Maternal cell contamination
mchc,llm,5,Erythrocyte mean corpuscular hemoglobin
normo_pct,text,1,Normoblasts
normo_pct,text,2,Monoblasts
normo_pct,text,3,Pronormoblasts
normo_pct,text,4,Normoblasts/100 blasts
normo_pct,text,5,Normoblasts/100 leukocytes
normo_pct,llm,1,Microorganism preliminary growth detection panel
normo_pct,llm,2,Middle East respiratory syndrome coronavirus RNA
normo_pct,llm,3,Blood removed from patient
normo_pct,llm,4,SARS coronavirus 2 specific TCRB gene rearrangements
normo_pct,llm,5,Rate of fibrin formation.glass bead induced
normo,text,1,Normoblasts
normo,text,2,Monoblasts
normo,text,3,Pronormoblasts
normo,text,4,Normoblasts/100 blasts
normo,text,5,Normoblasts/100 leukocytes
normo,llm,1,Circulating tumor cells.colon
normo,llm,2,Solanum tuberosum basophil bound Ab
normo,llm,3,Coagulation viscoelastic tracing
normo,llm,4,Agrostis stolonifera basophil bound Ab
normo,llm,5,Cocos nucifera basophil bound Ab
quick,text,1,Antithrombin
quick,text,2,Prothrombin.activity actual/Normal
quick,text,3,Thrombopoietin
quick,text,4,Clot formation lag time
quick,text,5,Gastric inhibitory polypeptide
quick,llm,1,Prothrombin Ag
quick,llm,2,Prothrombin Ag actual/Normal
quick,llm,3,Thrombopoietin
quick,llm,4,Protein C
quick,llm,5,Protein S
inr,text,1,Thrombin generation test panel
inr,text,2,Endogenous thrombin potential^after addition of Factor VIII Ab
inr,text,3,Thrombopoietin
inr,text,4,von Willebrand factor.ristocetin cofactor activity actual/Normal
inr,text,5,Coagulation tissue factor induced.INR^post heparin neutralization
inr,llm,1,Thrombin generation test panel
inr,llm,2,Endogenous thrombin potential^after addition of Factor VIII Ab
inr,llm,3,Thrombopoietin
inr,llm,4,von Willebrand factor.ristocetin cofactor activity actual/Normal
inr,llm,5,Coagulation tissue factor induced.INR^post heparin neutralization
ptt,text,1,Plasmin-plasmin inhibitor complex
ptt,text,2,Antithrombin
ptt,text,3,Thrombin generation test panel
ptt,text,4,Platelet aggregation.ristocetin inhibitor
ptt,text,5,Plasminogen activator tissue type
ptt,llm,1,Alpha aminoisobutyrate
ptt,llm,2,Argatroban
ptt,llm,3,Antithrombin
ptt,llm,4,Thrombin generation test panel
ptt,llm,5,Plasmin inhibitor actual/Normal
fib_cl,text,1,Fibrinogen
fib_cl,text,2,Fibrinogen Ag
fib_cl,text,3,Fibrinogen fragments
fib_cl,text,4,Fibrin fragments
fib_cl,text,5,Fibrinogen fragments Ag
fib_cl,llm,1,Fibrinogen Ag
fib_cl,llm,2,Fibrinogen
fib_cl,llm,3,Fibrinogen fragments Ag
fib_cl,llm,4,Fibrinogen fragments
fib_cl,llm,5,Fibrin fragments Ag
fib_p,text,1,Fibrinogen
fib_p,text,2,Fibrinogen Ag
fib_p,text,3,Fibrinogen fragments
fib_p,text,4,Fibrin fragments
fib_p,text,5,Fibrinogen fragments Ag
fib_p,llm,1,Fibrinogen
fib_p,llm,2,Fibrinogen Ag
fib_p,llm,3,Fibrinogen fragments
fib_p,llm,4,Fibrin fragments
fib_p,llm,5,Fibrinogen fragments Ag
cl_s,text,1,Chloride
cl_s,text,2,Chlordane
cl_s,text,3,Cephaloridine
cl_s,text,4,Chlorthalidone
cl_s,text,5,Chlorothiazide
cl_s,llm,1,Chloride
cl_s,llm,2,Chlordane
cl_s,llm,3,Cephaloridine
cl_s,llm,4,Chlorthalidone
cl_s,llm,5,Chlorothiazide
ca_s,text,1,Calcium
ca_s,text,2,Calcitriol
ca_s,text,3,Calcium^post dialysis
ca_s,text,4,Calcidiol
ca_s,text,5,Calcium/Osmolality
ca_s,llm,1,Calcium
ca_s,llm,2,Calcium/Sodium
ca_s,llm,3,Calcium.ionized
ca_s,llm,4,Calcium/Albumin
ca_s,llm,5,Calcium/Protein
na_s,text,1,Sodium
na_s,text,2,Indium
na_s,text,3,Cadmium
na_s,text,4,Vanadium
na_s,text,5,Magnesium
na_s,llm,1,Sodium
na_s,llm,2,Strontium
