var_shortn,rank,component
hgb,1,Hemoglobin
hgb,2,Hemoglobin A
hgb,3,Hemoglobin H
hgb,4,Hemoglobin F
hgb,5,Hemoglobin S
mch,1,Erythrocyte mean corpuscular hemoglobin
mch,2,Escitalopram induced neutrophil Ab.IgM
mch,3,Omeprazole induced neutrophil Ab.IgM
mch,4,Tacrolimus induced neutrophil Ab.IgM
mch,5,Citalopram induced neutrophil Ab.IgM
mchc,1,Erythrocyte mean corpuscular hemoglobin concentration
mchc,2,Mean chromosome banding resolution
mchc,3,Neospora caninum Ab/Negative control
mchc,4,Granulocyte macrophage colony stimulating factor
mchc,5,Soluble urokinase plasminogen activator receptor
normo_pct,1,Bone marrow transplant chimerism panel
normo_pct,2,Newborn screening report overall laboratory comment
normo_pct,3,First trimester maternal screen panel
normo_pct,4,Lysosomal storage disorders newborn screening panel
normo_pct,5,Bacterial rpoB gene drug resistance mutation
normo,1,Transfuse blood product.other
normo,2,Listeria monocytogenes Ab
normo,3,Listeria monocytogenes O1 Ab
normo,4,Circulating tumor cells.colon
normo,5,Transfuse whole blood autologous units
quick,1,Prothrombin Ab.IgM
quick,2,Prothrombin Ag
quick,3,Prothrombin Ab
quick,4,Prothrombin Ab.IgG
quick,5,Prothrombin fragment 1+2
inr,1,Hematopoietic progenitor cell product characterization panel
inr,2,Somatotropin post macimorelin stimulation panel
inr,3,Thrombospondin type I domain-containing 7A Ag
inr,4,Melanoma in situ.location relative to involved lateral margin
inr,5,Clot initiation.kaolin induced^post heparin neutralization
ptt,1,Mitochondria Ab pattern
ptt,2,Mitochondrial metabolites panel
ptt,3,Palmitoyl protein thioesterase
ptt,4,Retinoblastoma protein
ptt,5,Trimethoprim leukotriene release
fib_cl,1,Fibrinogen Ag
fib_cl,2,Fibrinogen
fib_cl,3,Fibrinogen fragments Ag
fib_cl,4,Fibrinogen fragments
fib_cl,5,Fibrosis stage
fib_p,1,Fibrinogen
fib_p,2,Fibrinogen Ag
fib_p,3,Fibrinogen fragments
fib_p,4,Fibrin fragments
fib_p,5,Fibrinogen fragments Ag
cl_s,1,Chloride
cl_s,2,Chlorine
cl_s,3,Chlordane
cl_s,4,Cephaloridine
cl_s,5,chlorproPAMIDE
ca_s,1,Calcium
ca_s,2,Calcium/Sodium
ca_s,3,Calcium.ionized
ca_s,4,Calcium/Albumin
ca_s,5,Calcium/Protein
na_s,1,Sodium
na_s,2,Sodium urate
na_s,3,Osmium
na_s,4,Scandium
na_s,5,Strontium
k_s,1,Potassium
k_s,2,Potassium/Creatinine
k_s,3,Potassium^2nd specimen
k_s,4,Potassium^3rd specimen
k_s,5,Potassium^pre dialysis
mg_s,1,Magnesium
mg_s,2,Magnesium cutoff
mg_s,3,Magnesium.ionized
mg_s,4,Germanium
mg_s,5,Magnesium/Creatinine
hba1c_ifcc,1,Hemoglobin A1c
hba1c_ifcc,2,Hemoglobin A
hba1c_ifcc,3,Hemoglobin C
hba1c_ifcc,4,Hemoglobin Ag
hba1c_ifcc,5,Hemoglobin A2
gluc_s,1,Glucose
gluc_s,2,Glucose.PO
gluc_s,3,Glucose.IV
gluc_s,4,Glucosidase
gluc_s,5,Glucosamine
crea_s,1,Creatinine
crea_s,2,Creatine
crea_s,3,Carnitine
crea_s,4,Gold/Creatinine
crea_s,5,Creatinine panel
hrs_s,1,Sorbic acid Ab.IgE
hrs_s,2,Organic acids
hrs_s,3,Gastric acid
hrs_s,4,Urtica dioica Ab.IgE
hrs_s,5,Urtica dioica Ab.IgG
cystatin,1,Cystatin C
cystatin,2,Cystathionine
cystatin,3,Cystatin C/Creatinine
cystatin,4,Nystatin
cystatin,5,Cystine
ck_s,1,Creatine kinase
ck_s,2,Creatine Kinase.MB
ck_s,3,Creatine kinase.MB
ck_s,4,Creatine kinase.BB
ck_s,5,Creatine kinase.MM
ldh_s,1,Lactate dehydrogenase
ldh_s,2,Lactate dehydrogenase 2
ldh_s,3,Lactate dehydrogenase 1
ldh_s,4,Lactate dehydrogenase 3
ldh_s,5,Lactate dehydrogenase 4
amyl_s,1,Amylase
amyl_s,2,Amylase.P1
amyl_s,3,Amylase.P2
amyl_s,4,Amylase.P3
amyl_s,5,Amylase.S1
ggt_s,1,Gamma glutamyl transferase
ggt_s,2,Gamma glutamyl transferase.macromolecular
ggt_s,3,Gamma aminobutyrate.free
ggt_s,4,Gamma glutamyl transferase/Aspartate aminotransferase
ggt_s,5,Gamma aminobutyrate
lip_s,1,Lipolase Ab.IgE
lip_s,2,Lipids
lip_s,3,Lipid panel
lip_s,4,Lipase.macromolecular
lip_s,5,Palatinase
tg_s,1,Triglyceride
tg_s,2,Triglyceride^post CFst
tg_s,3,Triglyceride.in VLDL
tg_s,4,Triglyceride+ester.in HDL
tg_s,5,Triglyceride+ester.in IDL
chol_s,1,Laboratory director name
chol_s,2,Laboratory comment
chol_s,3,Laboratory ask at order entry panel
chol_s,4,Lymphocyte proliferation.Borrelia burgdorferi stimulation
chol_s,5,Ornithobacterium rhinotracheale Ab/Positive control
hdlch,1,Hematopoietic progenitor cells
hdlch,2,"o,p'- Dichlorodiphenyltrichloroethane"
hdlch,3,High grade prostatic intraepithelial neoplasia
hdlch,4,Cholesterol.in HDL/Cholesterol.total
hdlch,5,Yersinia enterocolitica serotype
crp_hs,1,C reactive protein
crp_hs,2,Creatinine/Protein
crp_hs,3,Beta-trace protein
crp_hs,4,Creatinine^pre contrast
crp_hs,5,Creatine
ust_trueb,1,Chlorine
ust_trueb,2,Chloroquine
ust_trueb,3,Chloramines
ust_trueb,4,cloNIDine
