var_shortn,rank,component
hgb,1,Hemoglobin
hgb,2,Hemoglobin A
hgb,3,Hemoglobin H
hgb,4,Hemoglobin F
hgb,5,Hemoglobin S
mch,1,Erythrocyte mean corpuscular hemoglobin
mch,2,Acer macrophyllum Ab.IgE
mch,3,Muscle sarcolemma Ab
mch,4,Mycoplasma genitalium rRNA
mch,5,Mycoplasma hyopneumoniae Ab
mchc,1,Reticulocyte corpuscular hemoglobin concentration mean
mchc,2,Erythrocyte mean corpuscular hemoglobin concentration
mchc,3,Mean chromosome banding resolution
mchc,4,Neospora caninum Ab/Negative control
mchc,5,Acer macrophyllum Ab.IgE/IgE.total
normo_pct,1,Normoblasts
normo_pct,2,Monoblasts
normo_pct,3,Pronormoblasts
normo_pct,4,Normoblasts/100 cells
normo_pct,5,Normoblasts/100 blasts
normo,1,Normoblasts
normo,2,Monoblasts
normo,3,Pronormoblasts
normo,4,Normoblasts/100 cells
normo,5,Normoblasts/100 blasts
quick,1,Bismuth/Creatinine
quick,2,Cortisol/Creatinine
quick,3,Trichomonas sp
quick,4,Sorbitol/Creatinine
quick,5,QUEtiapine metabolite
inr,1,Hematopoietic progenitor cell product characterization panel
inr,2,Somatotropin post macimorelin stimulation panel
inr,3,Thrombospondin type I domain-containing 7A Ag
inr,4,Melanoma in situ.location relative to involved lateral margin
inr,5,Clot initiation.kaolin induced^post heparin neutralization
ptt,1,Pathologist interpretation
ptt,2,Alpha 1 antitrypsin/Protein.total
ptt,3,Neutrophil cytoplasmic Ab pattern
ptt,4,Palmitoyl protein thioesterase
ptt,5,Catecholamine metabolites pattern
fib_cl,1,Fibrinogen
fib_cl,2,Fibrinogen Ag
fib_cl,3,Fibrinogen fragments
fib_cl,4,Fibrin fragments
fib_cl,5,Fibrinogen fragments Ag
fib_p,1,Fibrinogen
fib_p,2,Fibrinogen Ag
fib_p,3,Fibrinogen fragments
fib_p,4,Fibrin fragments
fib_p,5,Fibrinogen fragments Ag
cl_s,1,Chloride
cl_s,2,Chlorine
cl_s,3,Chlordane
cl_s,4,Cephaloridine
cl_s,5,chlorproPAMIDE
ca_s,1,Calcium
ca_s,2,Calcium oxalate
ca_s,3,Calcium carbonate/Total
ca_s,4,Calcium phosphate/Total
ca_s,5,Calcitriol
na_s,1,Sodium
na_s,2,Scandium
na_s,3,Indium
na_s,4,Cadmium
na_s,5,Niobium
k_s,1,Potassium
k_s,2,Potassium^2nd specimen
k_s,3,Potassium^3rd specimen
k_s,4,Potassium^pre dialysis
k_s,5,Potassium^post dialysis
mg_s,1,Magnesium
mg_s,2,Magnesium cutoff
mg_s,3,Magnesium.ionized
mg_s,4,Germanium
mg_s,5,Magnesium/Creatinine
hba1c_ifcc,1,HBA1 gene.c.223G>C
hba1c_ifcc,2,HNA 1c Ab
hba1c_ifcc,3,HLA-C
hba1c_ifcc,4,HPA-1
hba1c_ifcc,5,Hemoglobin A1c/Hemoglobin.total
gluc_s,1,Glucose
gluc_s,2,Glucose.PO
gluc_s,3,Glucose.IV
gluc_s,4,Glucosidase
gluc_s,5,Glucosamine
crea_s,1,Creatinine
crea_s,2,Creatine
crea_s,3,Carnitine
crea_s,4,Gold/Creatinine
crea_s,5,Creatinine panel
hrs_s,1,Sorbic acid Ab.IgE
hrs_s,2,Organic acids
hrs_s,3,Gastric acid
hrs_s,4,Urtica dioica Ab.IgE
hrs_s,5,Urtica dioica Ab.IgG
cystatin,1,Cystatin C
cystatin,2,Nystatin
cystatin,3,Cystatin C/Creatinine
cystatin,4,Cystine
cystatin,5,Cytokeratin cells
ck_s,1,Creatine kinase
ck_s,2,Creatine Kinase.MB
ck_s,3,Creatine kinase.MB
ck_s,4,Creatine kinase.BB
ck_s,5,Creatine kinase.MM
ldh_s,1,Lactate dehydrogenase
ldh_s,2,Lactate dehydrogenase 2
ldh_s,3,Lactate dehydrogenase 1
ldh_s,4,Lactate dehydrogenase 3
ldh_s,5,Lactate dehydrogenase 4
amyl_s,1,Amylase
amyl_s,2,Amylase.P1
amyl_s,3,Amylase.P2
amyl_s,4,Amylase.P3
amyl_s,5,Amylase.S1
ggt_s,1,Gamma glutamyl transferase
ggt_s,2,Gamma glutamyl transferase.macromolecular
ggt_s,3,Gamma aminobutyrate.free
ggt_s,4,Gamma glutamyl transferase/Aspartate aminotransferase
ggt_s,5,Gamma aminobutyrate
lip_s,1,Lipolase Ab.IgE
lip_s,2,Lipids
lip_s,3,Lipid panel
lip_s,4,Lipase.macromolecular
lip_s,5,Palatinase
tg_s,1,Triglyceride
tg_s,2,Triglyceride^post CFst
tg_s,3,Triglyceride.in VLDL
tg_s,4,Triglyceride+ester.in HDL
tg_s,5,Triglyceride+ester.in IDL
chol_s,1,Cholesterol
chol_s,2,Cholesterol/Total
chol_s,3,Cholestanol
chol_s,4,Cholesterol.in HDL
chol_s,5,Cholesterol.in LDL
hdlch,1,7-Dehydrocholesterol
hdlch,2,8-Dehydrocholesterol
hdlch,3,Cholesterol
hdlch,4,8(9)-Cholestenol
hdlch,5,"1,1-Dichloroethylene"
crp_hs,1,Carbapenem
crp_hs,2,Cariprazine
crp_hs,3,Carp Ab.IgE
crp_hs,4,Macrophages
crp_hs,5,Carisoprodol
ust_trueb,1,Turbidity
ust_trueb,2,Tumor budding
ust_trueb,3,Rubidium
ust_trueb,4,Tilmicosin
ust_trueb,5,Clostridium botulinum
crea_u,1,Creatinine
crea_u,2,Creatine
crea_u,3,Carnitine
crea_u,4,Gold/Creatinine
crea_u,5,Creatinine panel
alb_u,1,Albumin
alb_u,2,Prealbumin
